Year,Month,Harbor name,Ship count,Weight
2011,8,진해,17,"106,481"
2011,8,통영,22,"11,848"
2011,8,고현,2,"3,871"
2011,8,하동,13,"707,210"
2011,8,울산,678,"12,403,123"
2011,8,제주,20,"472,572"
2011,8,서귀포,0,0
2011,8,기타,0,0
2011,9,부산,"1,628","38,271,259"
2011,9,인천,545,"10,087,913"
2011,9,평택.당진,346,"8,540,459"
2011,9,경인항,0,0
2011,9,동해.묵호,85,"1,191,453"
2011,9,삼척,7,"11,725"
2011,9,속초,1,649
2011,9,옥계,9,"245,627"
2011,9,호산,0,0
2011,9,대산,143,"3,152,349"
2011,9,보령,11,"553,108"
2011,9,태안,14,"578,366"
2011,9,군산,100,"2,390,746"
2011,9,장항,5,"13,881"
2011,9,목포,71,"1,654,055"
2011,9,완도,2,"1,634"
2011,9,여수,114,"3,655,715"
2011,9,광양,623,"16,910,460"
2011,9,포항,225,"2,711,489"
2011,9,마산,121,"2,091,763"
2011,9,삼천포,12,"656,707"
2011,9,옥포,9,"46,814"
2011,9,장승포,0,0
2011,9,진해,11,"51,982"
2011,9,통영,20,"10,539"
2011,9,고현,7,"37,173"
2011,9,하동,10,"523,270"
2011,9,울산,621,"12,082,305"
2011,9,제주,20,"552,529"
2011,9,서귀포,0,0
2011,9,기타,0,0
2011,10,부산,"1,689","38,541,630"
2011,10,인천,575,"10,137,707"
2011,10,평택.당진,402,"9,915,841"
2011,10,경인항,0,0
2011,10,동해.묵호,99,"1,240,250"
2011,10,삼척,9,"15,691"
2011,10,속초,8,"1,452"
2011,10,옥계,8,"215,501"
2011,10,호산,0,0
2011,10,대산,146,"3,216,299"
2011,10,보령,11,"610,788"
2011,10,태안,12,"566,588"
2011,10,군산,117,"2,829,617"
2011,10,장항,6,"16,332"
2011,10,목포,77,"1,712,360"
2011,10,완도,2,"2,089"
2011,10,여수,126,"3,703,481"
2011,10,광양,679,"19,420,367"
2011,10,포항,256,"3,021,179"
2011,10,마산,143,"2,170,797"
2011,10,삼천포,13,"530,211"
2011,10,옥포,10,"26,002"
2011,10,장승포,0,0
2011,10,진해,15,"113,942"
2011,10,통영,16,"8,118"
2011,10,고현,7,"12,074"
2011,10,하동,12,"634,795"
2011,10,울산,751,"14,665,675"
2011,10,제주,19,"342,145"
2011,10,서귀포,0,0
2011,10,기타,0,0
2011,11,부산,"1,657","37,464,354"
2011,11,인천,574,"10,134,067"
2011,11,평택.당진,397,"8,812,286"
2011,11,경인항,0,0
2011,11,동해.묵호,99,"1,158,020"
2011,11,삼척,6,"10,255"
2011,11,속초,7,"1,534"
2011,11,옥계,8,"117,562"
2011,11,호산,0,0
2011,11,대산,139,"2,841,631"
2011,11,보령,8,"414,269"
2011,11,태안,16,"795,188"
2011,11,군산,129,"2,740,422"
2011,11,장항,5,"11,278"
2011,11,목포,77,"1,789,058"
2011,11,완도,1,498
2011,11,여수,121,"3,933,447"
2011,11,광양,641,"18,443,654"
2011,11,포항,227,"3,093,379"
2011,11,마산,142,"2,160,719"
2011,11,삼천포,12,"450,597"
2011,11,옥포,5,"17,211"
2011,11,장승포,0,0
