,Year,Month,Harbor name,Ship count,Weight
505,2011,04,통영,28,"17,257"
506,2011,04,고현,8,"19,469"
507,2011,04,하동,11,"580,161"
508,2011,04,울산,812,"14,700,932"
509,2011,04,제주,9,"113,585"
510,2011,04,서귀포,0,0
511,2011,04,기타,0,0
512,2011,05,항만명,"5,152","112,015,720"
513,2011,05,부산,"1,674","38,370,050"
514,2011,05,인천,642,"11,206,880"
515,2011,05,평택.당진,382,"9,080,039"
516,2011,05,경인항,0,0
517,2011,05,동해.묵호,93,"947,071"
518,2011,05,삼척,10,"17,316"
519,2011,05,속초,7,"2,381"
520,2011,05,옥계,6,"167,718"
521,2011,05,호산,0,0
522,2011,05,대산,124,"3,134,969"
523,2011,05,보령,10,"517,136"
524,2011,05,태안,12,"613,740"
525,2011,05,군산,124,"2,968,543"
526,2011,05,장항,6,"13,585"
527,2011,05,목포,72,"1,390,338"
528,2011,05,완도,1,"1,328"
529,2011,05,여수,122,"3,873,365"
530,2011,05,광양,619,"18,279,497"
531,2011,05,포항,272,"2,989,012"
532,2011,05,마산,143,"2,478,833"
533,2011,05,삼천포,10,"428,961"
534,2011,05,옥포,8,"20,586"
535,2011,05,장승포,0,0
536,2011,05,진해,12,"120,111"
537,2011,05,통영,14,"15,761"
538,2011,05,고현,8,"26,515"
539,2011,05,하동,11,"585,466"
540,2011,05,울산,746,"14,243,205"
541,2011,05,제주,24,"523,314"
542,2011,05,서귀포,0,0
543,2011,05,기타,0,0
544,2011,06,항만명,"4,789","105,071,352"
545,2011,06,부산,"1,557","36,519,899"
546,2011,06,인천,518,"9,439,836"
547,2011,06,평택.당진,390,"9,482,973"
548,2011,06,경인항,0,0
549,2011,06,동해.묵호,74,"789,533"
550,2011,06,삼척,11,"17,217"
551,2011,06,속초,9,"2,858"
552,2011,06,옥계,5,"129,639"
553,2011,06,호산,0,0
554,2011,06,대산,150,"3,412,966"
555,2011,06,보령,9,"451,105"
556,2011,06,태안,11,"607,487"
557,2011,06,군산,126,"3,168,975"
558,2011,06,장항,4,"8,770"
559,2011,06,목포,76,"1,559,736"
560,2011,06,완도,2,"1,439"
561,2011,06,여수,75,"2,185,179"
562,2011,06,광양,601,"17,571,429"
563,2011,06,포항,244,"3,060,948"
564,2011,06,마산,137,"2,207,186"
565,2011,06,삼천포,10,"382,297"
566,2011,06,옥포,7,"35,733"
567,2011,06,장승포,0,0
568,2011,06,진해,15,"172,322"
569,2011,06,통영,20,"13,982"
